vehicle_count,queue_length,waiting_time,green_time
5,2,8,20
8,3,10,20
12,4,12,21
15,5,15,22
18,6,18,24
20,7,20,25
23,8,22,27
25,9,25,28
28,10,27,30
30,11,30,32
32,12,32,34
35,13,35,36
38,14,37,38
40,15,40,40
42,16,42,42
45,17,45,44
48,18,47,46
50,19,50,48
52,20,52,50
55,21,55,52
58,22,57,54
60,23,60,56
62,24,62,58
65,25,65,60
68,26,67,62
70,27,70,64
72,28,72,65
75,29,75,67
78,30,77,69
80,31,80,70
82,32,82,72
85,33,85,74
87,34,87,76
90,35,90,78
92,36,92,80
94,37,95,82
96,38,97,84
98,39,100,86
100,40,102,88
102,41,105,90
105,42,108,92
108,43,110,94
110,44,113,96
112,45,115,98
115,46,118,100
118,47,120,102
120,48,123,105
125,50,126,108
130,52,130,110
135,55,135,112
140,58,140,115
