vehicle_count,queue_length,waiting_time,green_time,fuzzy_green_time
5,2,8,20,20.22
8,3,10,20,20.33
12,4,12,21,20.46
15,5,15,22,20.69
18,6,18,24,20.95
20,7,20,25,21.14
23,8,22,27,21.45
25,9,25,28,21.67
28,10,27,30,33.19
30,11,30,32,38.37
32,12,32,34,42.32
35,13,35,36,46.81
38,14,37,38,48.9
40,15,40,40,50.05
42,16,42,42,52.64
45,17,45,44,55.67
48,18,47,46,58.36
50,19,50,48,60.0
52,20,52,50,60.0
55,21,55,52,60.0
58,22,57,54,60.0
60,23,60,56,60.0
62,24,62,58,60.0
65,25,65,60,60.0
68,26,67,62,60.0
70,27,70,64,60.0
72,28,72,65,60.0
75,29,75,67,60.0
78,30,77,69,62.02
80,31,80,70,63.46
82,32,82,72,65.02
85,33,85,74,67.67
87,34,87,76,69.73
90,35,90,78,73.47
92,36,92,80,76.6
94,37,95,82,80.53
96,38,97,84,85.39
98,39,100,86,91.41
100,40,102,88,98.89
102,41,105,90,98.16
105,42,108,92,98.31
108,43,110,94,98.75
110,44,113,96,99.17
112,45,115,98,99.58
115,46,118,100,99.98
118,47,120,102,100.37
120,48,123,105,100.74
125,50,126,108,101.43
130,52,130,110,101.94
135,55,135,112,102.5
140,58,140,115,102.94
